사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
43922,2호선,221,역삼,30,2,3366,7300,7649,38128,11844,113471,20414,277496,19303,225616,17837,84327,23523,49950,28820,43151,36245,50630,43589,42579,58406,38741,77058,33999,153447,35944,233799,42131,121724,30201,67242,17900,65813,13817,46051,10500,14805,7795,1,2,0,0,0,0,0,0
43922,2호선,222,강남,197,3,10268,11498,18382,48463,33746,141433,52320,286700,41174,298419,38930,133676,52534,94942,68287,91426,89329,114581,94016,99031,115658,92497,131646,89742,202863,114077,313518,164077,199444,115743,147350,54538,172918,39391,174617,30312,63010,22220,10,8,1,0,0,0,0,0
43922,2호선,223,교대(법원.검찰청),10,0,2204,6810,11065,23455,20678,51829,28931,131044,23485,119126,21079,58392,25386,41292,27991,37954,33979,45498,40109,42377,45362,37655,51065,36578,78832,42791,127598,56202,59942,38467,42056,20711,46658,17165,42496,14854,14032,10402,4,112,0,0,0,0,0,0
43922,2호선,224,서초,37,1,1114,4298,6296,17896,11584,40575,18522,95576,19416,79522,14219,29914,16380,19217,17435,16076,19813,18884,22707,17677,26691,15837,30637,14892,55817,16222,85600,17580,40051,12957,22158,8508,21930,7246,16072,6500,4406,3918,0,0,1,1,0,0,0,0
43922,2호선,225,방배,13,0,2319,3327,8230,11421,18620,23841,26640,62108,20898,39286,13744,16809,12968,13707,14116,14044,17312,16148,17073,16101,19788,16241,23736,17243,35651,23541,59550,31323,26328,24086,17278,15221,16614,14118,14286,14049,5265,7965,0,1,0,0,0,0,0,0
43922,2호선,226,사당,223,3,11976,3218,21236,25594,62299,35573,82790,55040,61960,43373,35740,33914,31762,33751,37443,33831,40264,38190,39065,39600,40177,47694,44999,60842,58909,85685,80975,132773,55807,101608,45504,58326,49562,51297,50916,48691,25640,33147,9,3055,0,0,0,0,0,0
43922,2호선,227,낙성대(강감찬),53,2,10424,1667,22226,8182,66676,14534,106819,30602,71161,27124,34087,20343,27373,17968,30291,20178,31239,22187,28428,24136,27906,28847,30196,33300,36199,48328,42399,84126,27413,75599,19056,47969,18083,43174,15097,43675,6750,27393,0,8,0,1,0,0,0,0
43922,2호선,228,서울대입구(관악구청),3624,18,25821,2472,37121,12492,107280,21080,155421,51251,106672,51853,53802,41395,45848,37371,50451,39932,53778,46318,50818,48043,52252,54117,57841,62171,64484,88190,78314,150557,51861,130743,42369,78228,44354,70523,39852,66055,17134,51888,4,5725,0,0,0,0,0,0
43922,2호선,229,봉천,51,2,13736,1685,24786,6906,69406,9315,102070,21109,63940,17502,31786,15666,25074,16326,27063,17634,27945,20132,23899,22372,23355,29165,24432,31900,26336,46208,29674,75733,19206,63592,14626,40875,13140,36669,10866,33198,3897,21381,6,415,0,1,1,1,0,0
43922,2호선,230,신림,230,10,36840,4566,69320,19462,178407,28603,270685,51034,166843,45596,81566,36820,65476,37224,70139,41977,70159,49359,62824,57834,61487,71867,66230,84430,73587,125586,78799,221829,56441,200866,47535,126147,45999,115268,41201,103050,19686,74842,1,122,0,0,0,1,0,0
